age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,was_previously_contacted,age_group,campaign_group,job_group,cluster,pca1,pca2
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.628645852105166,-1.4685682653205971
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.583444360196559,-1.3231341811248376
37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.3945286738657277,-0.5275010450045047
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,0,1.656403879836314,-0.793817753898055
56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.5663342600260985,-1.2315193761599228
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.6968857061555438,-1.4081322041633504
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,1.6249202060986119,-1.290807270070453
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.584462298085685,-1.3056111435687847
24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,18-25,1,blue_collar,1,0.8765163407846639,1.7228113029140841
25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,18-25,1,blue_collar,1,0.7684318454930931,2.1485414460066434
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.584462298085685,-1.3056111435687847
25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,18-25,1,blue_collar,1,0.7684318454930931,2.1485414460066434
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,0.8835897177767639,2.026195794054072
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.2536477448000112,-0.4568466155928467
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,0,1.602074099547041,-1.154248886968082
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,not_working,1,1.2143339675152172,-2.2939025496107748
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,0,1.602074099547041,-1.154248886968082
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,0,1.6302821704779407,-1.527972225365444
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.5890492903738653,-1.529116907029702
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.015509771168731,1.6096328051541742
